xmin,ymin,xmax,ymax,label,confidence
73,0,103,27,135,0.6409521698951721
33,31,60,56,97,0.3286590874195099
174,212,204,239,89,0.6431306600570679
111,118,136,142,68,0.9644145965576172
94,131,120,155,30,0.9875001311302185
0,0,0,0,0,-1.0
73,0,103,28,135,0.6463795900344849
33,31,59,57,97,0.5456446409225464
175,215,206,241,89,0.41237616539001465
188,211,216,237,79,0.3172650635242462
111,118,135,142,68,0.9267061352729797
94,130,120,155,30,0.988042950630188
0,0,0,0,0,-1.0
73,0,103,28,135,0.5407541394233704
33,31,59,57,97,0.4408620595932007
174,212,204,238,89,0.36969807744026184
33,23,58,42,86,0.38451650738716125
110,118,136,143,68,0.9575517177581787
94,130,120,155,30,0.9876092672348022
33,31,59,57,18,0.38214990496635437
0,0,0,0,0,-1.0
73,0,103,28,135,0.6185357570648193
32,32,59,58,97,0.5782166719436646
172,215,200,240,89,0.734393298625946
34,22,58,43,86,0.539914071559906
188,211,216,237,79,0.34236860275268555
111,119,136,144,68,0.93635493516922
93,130,120,155,30,0.9852204918861389
0,0,0,0,0,-1.0
73,0,103,28,135,0.759890079498291
32,32,58,58,97,0.736007034778595
171,215,200,240,89,0.9191604852676392
34,23,59,43,86,0.7018607258796692
188,211,215,237,79,0.30113446712493896
111,120,137,144,68,0.9310330152511597
93,130,120,155,30,0.9852038621902466
0,0,0,0,0,-1.0
74,1,104,27,135,0.8227893710136414
31,33,57,58,97,0.7932614088058472
171,215,200,240,89,0.9590811133384705
34,22,58,44,86,0.5202699899673462
188,211,216,237,79,0.47891050577163696
111,120,137,144,68,0.9602334499359131
93,130,120,155,30,0.9850620627403259
0,0,0,0,0,-1.0
74,1,104,27,135,0.8922072052955627
32,34,56,59,97,0.492254376411438
171,215,198,240,89,0.9504765272140503
36,22,59,45,86,0.4816935062408447
189,212,215,237,79,0.32410120964050293
112,120,138,145,68,0.9561604261398315
94,130,120,154,30,0.980691134929657
0,0,0,0,0,-1.0
74,1,104,27,135,0.9095594882965088
36,22,59,44,133,0.27134376764297485
32,35,55,60,97,0.473253071308136
171,215,198,239,89,0.9142531752586365
35,22,59,45,86,0.4072006642818451
189,211,215,237,79,0.40979307889938354
112,119,138,144,68,0.9763187766075134
94,130,120,154,30,0.9805737137794495
0,0,0,0,0,-1.0
74,1,104,27,135,0.9409133195877075
31,35,56,60,97,0.3205682933330536
170,216,198,240,89,0.9931508898735046
36,22,58,45,86,0.6214699745178223
190,212,216,237,79,0.6837944388389587
112,119,139,145,68,0.9885140657424927
93,129,120,154,30,0.9938384294509888
0,0,0,0,0,-1.0
74,1,104,27,135,0.9430369138717651
31,36,55,60,97,0.37775498628616333
170,215,198,240,89,0.9620821475982666
36,21,58,45,86,0.6725642681121826
190,212,216,237,79,0.533267080783844
114,120,139,144,68,0.8849519491195679
92,129,119,154,30,0.9827095866203308
0,0,0,0,0,-1.0
73,1,103,27,135,0.9414646029472351
31,36,55,60,97,0.3461647629737854
170,216,198,241,89,0.9762330055236816
36,21,58,44,86,0.6534560322761536
191,212,217,237,79,0.7087512016296387
114,119,140,144,68,0.9488652944564819
92,129,119,153,30,0.9870078563690186
0,0,0,0,0,-1.0
73,1,103,27,135,0.8901287913322449
29,37,54,62,97,0.6200073957443237
170,216,196,241,89,0.9600541591644287
35,20,58,45,86,0.9179873466491699
114,120,140,144,68,0.8426985144615173
92,128,119,152,30,0.9826263189315796
0,0,0,0,0,-1.0
73,1,103,27,135,0.9053966403007507
29,38,53,61,97,0.7787794470787048
170,216,197,240,89,0.9574412107467651
35,19,58,45,86,0.9353563189506531
192,213,219,237,79,0.25290489196777344
116,119,141,143,68,0.8271903991699219
92,128,119,152,30,0.9946380257606506
0,0,0,0,0,-1.0
73,1,103,27,135,0.9153622984886169
29,38,54,62,97,0.6614298820495605
170,215,197,240,89,0.9780566692352295
35,19,57,43,86,0.9561365842819214
116,119,142,143,68,0.9286527633666992
92,128,119,152,30,0.9948706030845642
0,0,0,0,0,-1.0
73,1,103,27,135,0.8939376473426819
28,37,53,62,97,0.7716172933578491
170,215,197,239,89,0.9475917220115662
34,18,58,43,86,0.9649282693862915
116,119,141,143,68,0.9120068550109863
92,128,119,152,30,0.994810938835144
0,0,0,0,0,-1.0
73,1,103,27,135,0.7453758716583252
28,38,52,62,97,0.8078754544258118
170,216,199,240,89,0.6170570254325867
35,19,57,45,86,0.9763714671134949
117,119,142,142,68,0.8997664451599121
92,128,119,152,30,0.9927976727485657
