image,xmin,xmax,ymin,ymax,label
map0.jpg,76,42,102,68,0
map0.jpg,153,86,179,112,1
map0.jpg,37,115,63,141,2
map0.jpg,153,163,179,189,3
map0.jpg,46,180,72,206,4
map0.jpg,205,165,231,191,5
map0.jpg,60,51,86,77,6
map0.jpg,43,172,69,198,7
map0.jpg,30,90,56,116,8
map0.jpg,164,132,190,158,9
map1.jpg,92,185,118,211,0
map1.jpg,72,82,98,108,1
map1.jpg,169,181,195,207,2
map1.jpg,42,68,68,94,3
map1.jpg,60,173,86,199,4
map1.jpg,154,52,180,78,5
map1.jpg,211,64,237,90,6
map1.jpg,210,160,236,186,7
map1.jpg,137,75,163,101,8
map1.jpg,78,21,104,47,9
map2.jpg,58,32,84,58,10
map2.jpg,137,197,163,223,11
map2.jpg,15,180,41,206,12
map2.jpg,209,34,235,60,13
map2.jpg,39,92,65,118,14
map2.jpg,32,102,58,128,15
map2.jpg,78,63,104,89,16
map2.jpg,128,142,154,168,17
map2.jpg,78,143,104,169,18
map2.jpg,152,13,178,39,19
map3.jpg,105,154,131,180,10
map3.jpg,171,43,197,69,11
map3.jpg,24,142,50,168,12
map3.jpg,137,80,163,106,13
map3.jpg,156,21,182,47,14
map3.jpg,161,137,187,163,15
map3.jpg,61,66,87,92,16
map3.jpg,144,144,170,170,17
map3.jpg,114,128,140,154,18
map3.jpg,31,39,57,65,19
map4.jpg,44,72,70,98,20
map4.jpg,189,181,215,207,21
map4.jpg,81,141,107,167,22
map4.jpg,141,65,167,91,23
map4.jpg,54,138,80,164,24
map4.jpg,212,191,238,217,25
map4.jpg,182,14,208,40,26
map4.jpg,73,170,99,196,27
map4.jpg,104,21,130,47,28
map4.jpg,181,40,207,66,29
map5.jpg,177,85,203,111,20
map5.jpg,167,93,193,119,21
map5.jpg,87,174,113,200,22
map5.jpg,76,205,102,231,23
map5.jpg,112,199,138,225,24
map5.jpg,130,116,156,142,25
map5.jpg,110,139,136,165,26
map5.jpg,45,89,71,115,27
map5.jpg,213,115,239,141,28
map5.jpg,114,108,140,134,29
map6.jpg,14,197,40,223,30
map6.jpg,40,40,66,66,31
map6.jpg,157,25,183,51,32
map6.jpg,34,186,60,212,33
map6.jpg,144,112,170,138,34
map6.jpg,81,172,107,198,35
map6.jpg,140,40,166,66,36
map6.jpg,30,85,56,111,37
map6.jpg,90,21,116,47,38
map6.jpg,188,36,214,62,39
map7.jpg,66,113,92,139,30
map7.jpg,125,157,151,183,31
map7.jpg,217,155,243,181,32
map7.jpg,77,181,103,207,33
map7.jpg,102,150,128,176,34
map7.jpg,136,184,162,210,35
map7.jpg,49,153,75,179,36
map7.jpg,93,118,119,144,37
map7.jpg,93,140,119,166,38
map7.jpg,200,23,226,49,39
map8.jpg,22,191,48,217,40
map8.jpg,58,66,84,92,41
map8.jpg,194,115,220,141,42
map8.jpg,141,153,167,179,43
map8.jpg,158,34,184,60,44
map8.jpg,26,177,52,203,45
map8.jpg,126,162,152,188,46
map8.jpg,179,111,205,137,47
map8.jpg,171,193,197,219,48
map8.jpg,168,101,194,127,49
map9.jpg,198,82,224,108,40
map9.jpg,147,154,173,180,41
map9.jpg,142,151,168,177,42
map9.jpg,30,195,56,221,43
map9.jpg,55,208,81,234,44
map9.jpg,192,153,218,179,45
map9.jpg,91,39,117,65,46
map9.jpg,131,96,157,122,47
map9.jpg,44,203,70,229,48
map9.jpg,146,21,172,47,49
map10.jpg,129,111,155,137,50
map10.jpg,14,81,40,107,51
map10.jpg,184,173,210,199,52
map10.jpg,86,190,112,216,53
map10.jpg,43,174,69,200,54
map10.jpg,81,14,107,40,55
map10.jpg,55,100,81,126,56
map10.jpg,161,83,187,109,57
map10.jpg,136,127,162,153,58
map10.jpg,119,78,145,104,59
map11.jpg,25,181,51,207,50
map11.jpg,45,156,71,182,51
map11.jpg,117,195,143,221,52
map11.jpg,98,138,124,164,53
map11.jpg,211,114,237,140,54
map11.jpg,78,103,104,129,55
map11.jpg,100,178,126,204,56
map11.jpg,188,211,214,237,57
map11.jpg,13,40,39,66,58
map11.jpg,120,111,146,137,59
map12.jpg,96,83,122,109,60
map12.jpg,130,156,156,182,61
map12.jpg,210,216,236,242,62
map12.jpg,130,124,156,150,63
map12.jpg,114,161,140,187,64
map12.jpg,101,131,127,157,65
map12.jpg,29,128,55,154,66
map12.jpg,39,24,65,50,67
map12.jpg,47,36,73,62,68
map12.jpg,199,206,225,232,69
map13.jpg,33,108,59,134,60
map13.jpg,168,71,194,97,61
map13.jpg,138,93,164,119,62
map13.jpg,208,117,234,143,63
map13.jpg,67,122,93,148,64
map13.jpg,197,84,223,110,65
map13.jpg,97,122,123,148,66
