image_path,xmin,ymin,xmax,ymax,label,confidence
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map395.jpg,98,75,124,101,35,0.3448825776576996
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map395.jpg,64,102,90,128,154,0.3479002118110657
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map395.jpg,115,63,141,89,86,0.39272692799568176
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map395.jpg,40,116,66,142,86,0.45455124974250793
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map395.jpg,71,107,97,133,154,0.5021131634712219
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map395.jpg,61,109,87,135,154,0.6958024501800537
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map395.jpg,108,72,134,98,132,0.7877196669578552
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map141.jpg,129,206,155,232,86,0.3556881546974182
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map141.jpg,89,97,115,123,63,0.3973620533943176
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map141.jpg,168,198,194,224,142,0.45556074380874634
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map141.jpg,201,97,227,123,46,0.5586006045341492
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map141.jpg,158,193,184,219,80,0.7957972288131714
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map141.jpg,56,175,82,201,98,0.9506245851516724
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map141.jpg,93,214,119,240,119,0.9756243228912354
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map141.jpg,162,153,188,179,89,0.9859284162521362
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map141.jpg,178,154,204,180,51,0.9920535683631897
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map133.jpg,216,14,242,40,46,0.3494182527065277
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map133.jpg,154,20,180,46,132,0.520192563533783
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map133.jpg,155,97,181,123,129,0.58652263879776
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map133.jpg,176,192,202,218,43,0.7041683197021484
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map133.jpg,54,163,80,189,154,0.8090882897377014
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map133.jpg,186,63,212,89,46,0.95436030626297
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map133.jpg,197,76,224,102,44,0.9782053232192993
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map988.jpg,109,107,135,133,80,0.3130419850349426
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map988.jpg,48,109,74,135,8,0.36625540256500244
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map988.jpg,99,102,125,128,63,0.4955241084098816
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map988.jpg,128,93,154,119,35,0.624732255935669
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map988.jpg,127,187,153,213,95,0.759880542755127
/home/nicolas/ULCO/minimap-analyser/Data/Source_Images/Training_Images/map988.jpg,128,178,154,204,25,0.7879058718681335
