image,xmin,ymin,xmax,ymax,label,confidence
map3991.jpg,134,200,160,226,1,0.3383326828479767
map3991.jpg,135,36,161,62,101,0.3943593502044678
map3991.jpg,154,42,180,68,8,0.7050232887268066
map3991.jpg,31,90,58,116,8,0.7060195207595825
map3991.jpg,116,199,143,225,100,0.8761669993400574
map3991.jpg,79,96,105,122,46,0.9958434700965881
map3004.jpg,172,72,198,98,46,0.31584683060646057
map3004.jpg,136,143,162,169,78,0.3189273774623871
map3004.jpg,161,13,187,39,132,0.3314693570137024
map3004.jpg,133,168,160,194,132,0.5503082275390625
map3004.jpg,16,155,42,181,46,0.6763487458229065
map3004.jpg,136,98,163,124,46,0.7907509803771973
map3004.jpg,92,127,118,153,44,0.8658547401428223
map395.jpg,136,153,162,179,108,0.37833449244499207
map395.jpg,49,75,75,101,46,0.40782931447029114
map395.jpg,113,158,139,184,100,0.556545078754425
map395.jpg,139,141,165,167,58,0.5887717604637146
map395.jpg,142,103,168,129,95,0.7105239629745483
map395.jpg,48,62,75,89,58,0.767909824848175
map141.jpg,159,100,185,126,132,0.3466065227985382
map141.jpg,158,140,184,166,63,0.4395897388458252
map141.jpg,173,181,199,207,121,0.4760531783103943
map141.jpg,133,129,159,155,132,0.5107486248016357
map141.jpg,83,192,109,218,46,0.6762756705284119
map141.jpg,214,101,240,127,46,0.7024617791175842
map141.jpg,61,168,87,194,95,0.7125920057296753
map141.jpg,56,50,82,76,97,0.8603112101554871
map141.jpg,167,143,193,169,46,0.8764888644218445
map3927.jpg,150,137,176,163,46,0.31311482191085815
map3927.jpg,50,59,76,85,15,0.4028901755809784
map3927.jpg,135,53,161,79,1,0.5398193597793579
map3927.jpg,103,109,129,135,108,0.557784378528595
map3927.jpg,57,92,83,118,68,0.6307966113090515
map3927.jpg,197,79,223,105,142,0.654593288898468
map3927.jpg,127,99,153,126,63,0.8099050521850586
map3927.jpg,141,78,167,104,8,0.8407891988754272
map3927.jpg,49,193,75,219,101,0.9608439207077026
map3751.jpg,175,72,201,98,46,0.3709425628185272
map3751.jpg,72,138,98,164,132,0.40665385127067566
map3751.jpg,172,61,198,87,132,0.5866639614105225
map3751.jpg,169,20,195,47,35,0.6910578608512878
map3751.jpg,45,115,71,141,46,0.7177342772483826
map3751.jpg,19,201,45,227,71,0.9735972881317139
map3567.jpg,153,198,179,224,118,0.3027729392051697
map3567.jpg,132,190,158,216,35,0.32199934124946594
map3567.jpg,87,141,113,167,132,0.4539484679698944
map3567.jpg,76,178,102,204,51,0.5078950524330139
map3567.jpg,198,34,224,60,30,0.7282131910324097
map3567.jpg,28,55,54,81,132,0.7429934144020081
map3567.jpg,201,195,227,221,80,0.7878324389457703
map3567.jpg,154,143,180,169,46,0.83062744140625
map1933.jpg,45,53,71,79,97,0.30379554629325867
map1933.jpg,48,60,74,86,132,0.3883368670940399
map1933.jpg,63,169,89,195,71,0.4219000041484833
map1933.jpg,60,135,86,161,63,0.44124582409858704
map1933.jpg,190,91,216,117,15,0.5316031575202942
map1933.jpg,43,24,69,50,71,0.5656185746192932
map1933.jpg,155,174,181,200,51,0.7360253930091858
map1933.jpg,43,132,69,158,44,0.9914210438728333
map133.jpg,117,171,143,197,63,0.549173891544342
map133.jpg,119,115,145,142,86,0.5973715782165527
map133.jpg,201,120,227,146,35,0.6739254593849182
map133.jpg,181,15,207,41,35,0.7581879496574402
map133.jpg,146,93,172,119,71,0.8820154666900635
map133.jpg,110,214,136,240,118,0.9459635615348816
map133.jpg,167,170,193,196,8,0.9632061123847961
map2311.jpg,18,48,44,74,132,0.3898201882839203
map2311.jpg,210,60,236,86,46,0.3970468044281006
map2311.jpg,71,50,97,76,108,0.42475199699401855
map2311.jpg,68,69,94,95,132,0.648472011089325
map2311.jpg,89,24,115,50,154,0.6778165698051453
map988.jpg,186,112,212,138,46,0.31679654121398926
map988.jpg,195,182,221,208,100,0.4285005033016205
map988.jpg,90,171,116,197,1,0.48633721470832825
map988.jpg,147,33,173,59,132,0.5522056221961975
map988.jpg,151,166,177,192,132,0.6099579334259033
map988.jpg,44,161,70,187,121,0.7996261119842529
map988.jpg,181,39,207,65,35,0.8416798114776611
map988.jpg,192,39,218,65,30,0.8463711142539978
map988.jpg,52,192,78,218,86,0.9591038227081299
map988.jpg,50,92,76,118,118,0.9882777333259583
map3037.jpg,84,161,110,187,71,0.3603595197200775
map3037.jpg,159,87,186,113,27,0.4053942859172821
map3037.jpg,52,138,78,164,43,0.4631529450416565
map3037.jpg,59,189,85,215,46,0.4955582916736603
map3037.jpg,60,19,86,45,68,0.5292781591415405
map3037.jpg,123,100,149,126,118,0.7148019671440125
map3037.jpg,195,71,221,97,35,0.750916063785553
map3037.jpg,75,59,101,85,25,0.9760141372680664
map3037.jpg,76,108,102,134,51,0.9923611283302307
map3037.jpg,216,128,242,154,46,0.9941854476928711
map3141.jpg,168,39,194,65,154,0.4294378459453583
map3141.jpg,153,140,179,166,86,0.526393473148346
map3141.jpg,173,111,199,137,154,0.5791018009185791
map3141.jpg,172,129,198,155,46,0.7155852317810059
map3141.jpg,199,188,225,214,1,0.7648270130157471
map2521.jpg,172,210,198,236,132,0.3132951557636261
map2521.jpg,213,171,239,197,68,0.3505503535270691
map2521.jpg,173,150,199,176,8,0.4812466502189636
map2521.jpg,111,24,137,50,142,0.4890856146812439
map2521.jpg,51,31,77,57,132,0.59312903881073
map2521.jpg,29,14,55,40,80,0.6192408800125122
map2521.jpg,127,56,153,82,132,0.747841477394104
map2521.jpg,210,141,236,167,132,0.7732529044151306
map2521.jpg,55,89,81,115,142,0.8152921795845032
map2521.jpg,127,161,153,187,132,0.8591105341911316
map2683.jpg,56,103,82,129,63,0.31165990233421326
map2683.jpg,107,195,133,221,46,0.42031246423721313
map2683.jpg,108,206,134,232,132,0.43464475870132446
map2683.jpg,41,52,67,78,118,0.5191612243652344
map2683.jpg,127,73,153,99,132,0.6752076745033264
map2683.jpg,208,92,234,118,46,0.9197636246681213
map2683.jpg,131,200,157,226,25,0.9305449724197388
map2683.jpg,176,115,202,141,118,0.9524263143539429
map1541.jpg,127,111,153,137,142,0.37221217155456543
map1541.jpg,136,98,162,124,15,0.4022316634654999
map1541.jpg,61,115,87,141,27,0.4512191116809845
map1541.jpg,111,39,137,65,97,0.5947779417037964
map1541.jpg,94,75,120,101,36,0.7594462633132935
map1541.jpg,159,82,185,108,63,0.7897188663482666
map1541.jpg,210,71,236,97,47,0.8208327889442444
map1541.jpg,186,149,212,176,46,0.9862232208251953
map1541.jpg,16,171,42,197,8,0.9910476803779602
map2208.jpg,113,29,139,55,43,0.3489615023136139
map2208.jpg,15,209,41,235,17,0.4240328073501587
map2208.jpg,89,215,116,241,46,0.44690847396850586
map2208.jpg,34,90,60,116,132,0.45706894993782043
map2208.jpg,181,180,207,206,63,0.6654707193374634
map2208.jpg,76,64,103,90,63,0.8535938858985901
map2208.jpg,28,122,54,148,154,0.9225777387619019
map2208.jpg,162,23,188,49,118,0.9527019262313843
map2208.jpg,178,142,204,168,89,0.9749716520309448
map2208.jpg,21,162,47,188,44,0.9777230620384216
map2486.jpg,137,23,163,49,108,0.36642009019851685
map2486.jpg,159,35,185,61,71,0.382832795381546
map2486.jpg,29,82,55,108,132,0.40645092725753784
map2486.jpg,65,78,91,104,118,0.44425302743911743
map2486.jpg,41,94,67,120,46,0.5132653713226318
map2486.jpg,101,101,127,127,71,0.5289536714553833
map2486.jpg,151,152,177,178,132,0.6433568596839905
map2486.jpg,167,119,193,145,118,0.7281777858734131
map2486.jpg,109,128,135,154,72,0.9489032626152039
map1560.jpg,129,72,155,98,15,0.33172136545181274
map1560.jpg,143,22,169,48,63,0.48368051648139954
map1560.jpg,93,32,119,59,100,0.48516127467155457
map1560.jpg,188,57,214,83,132,0.5423359870910645
map1560.jpg,206,181,232,207,60,0.5806848406791687
